Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778714393,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778714394,10,,Aggregated,0.000000,0.000000,350,350,350,360,370,370,370,370,370,370,370,10,0,350,322.0400864000112,67.5822369994421,372.14230400059023,2042.0
1778714395,20,,Aggregated,0.000000,0.000000,210,340,350,350,350,360,370,370,370,370,370,23,0,210,201.56145743476372,8.172823000677454,372.14230400059023,1901.9130434782608
1778714396,30,,Aggregated,10.000000,0.000000,89,240,260,340,350,350,370,370,370,370,370,43,0,89,149.82727374419568,4.843423999773222,372.14230400059023,1787.6976744186047
1778714397,40,,Aggregated,11.000000,0.000000,47,190,210,260,350,350,360,370,370,370,370,65,0,47,119.86132492309899,4.843423999773222,372.14230400059023,1813.1384615384616
1778714398,50,,Aggregated,12.666667,0.000000,34,130,210,210,260,350,360,370,370,370,370,94,0,31,99.44716455321851,4.843423999773222,372.14230400059023,1875.436170212766
1778714399,50,,Aggregated,15.000000,0.000000,10,51,180,210,260,350,350,360,370,370,370,118,0,10,80.53218899152914,4.843423999773222,372.14230400059023,1881.084745762712
1778714400,50,,Aggregated,17.600000,0.000000,7,31,69,190,240,340,350,360,370,370,370,144,0,7,67.16427207640487,4.843423999773222,372.14230400059023,1919.5833333333333
1778714401,50,,Aggregated,18.500000,0.000000,7,11,47,70,220,340,350,360,370,370,370,170,0,7,57.94047127060634,4.843423999773222,372.14230400059023,1911.4705882352941
1778714402,50,,Aggregated,19.000000,0.000000,7,8,31,62,210,260,350,360,370,370,370,198,0,7,50.583308843463534,4.843423999773222,372.14230400059023,1911.3232323232323
1778714403,50,,Aggregated,19.250000,0.000000,7,8,11,35,210,260,350,350,370,370,370,221,0,7,45.9880447602099,4.843423999773222,372.14230400059023,1906.2760180995474
1778714404,50,,Aggregated,20.222222,0.000000,7,7,9,31,210,260,350,350,370,370,370,250,0,7,41.36166507202506,4.367618999822298,372.14230400059023,1914.532
1778714405,50,,Aggregated,21.400000,0.000000,7,7,9,12,190,260,350,350,370,370,370,273,0,7,38.43601757145048,4.367618999822298,372.14230400059023,1924.2600732600733
1778714406,50,,Aggregated,23.100000,0.000000,7,7,10,16,140,220,350,350,370,370,370,301,0,7,36.094731458488056,4.367618999822298,372.14230400059023,1932.9601328903655
1778714407,50,,Aggregated,23.900000,0.000000,7,7,9,12,89,220,350,350,370,370,370,330,0,7,33.584177506073694,4.367618999822298,372.14230400059023,1948.7727272727273
1778714408,50,,Aggregated,25.600000,0.000000,7,7,9,11,69,220,340,350,370,370,370,355,0,7,31.67008498874335,4.367618999822298,372.14230400059023,1945.9774647887325
1778714409,50,,Aggregated,25.300000,0.000000,7,7,9,11,68,210,340,350,370,370,370,379,0,7,30.11026254355455,4.367618999822298,372.14230400059023,1943.6992084432718
1778714410,50,,Aggregated,25.800000,0.000000,6,7,8,10,51,210,340,350,370,370,370,410,0,6,28.341772273189434,4.367618999822298,372.14230400059023,1950.8902439024391
1778714411,50,,Aggregated,26.000000,0.000000,6,7,8,9,47,210,340,350,370,370,370,436,0,6,27.0500021330392,4.367618999822298,372.14230400059023,1953.0
1778714412,50,,Aggregated,26.800000,0.000000,6,7,8,9,35,210,260,350,370,370,370,465,0,6,25.76150185808318,4.367618999822298,372.14230400059023,1950.5376344086021
1778714413,50,,Aggregated,27.100000,0.000000,6,7,8,9,34,210,260,350,370,370,370,490,0,6,24.77475743267043,4.367618999822298,372.14230400059023,1940.3428571428572
1778714414,50,,Aggregated,26.800000,0.000000,6,7,8,9,31,190,260,350,370,370,370,515,0,6,23.94224372817263,4.367618999822298,372.14230400059023,1942.4932038834952
1778714415,50,,Aggregated,26.200000,0.000000,6,7,8,9,28,190,260,350,370,370,370,541,0,6,23.116859293917038,4.367618999822298,372.14230400059023,1940.6876155268021
1778714416,50,,Aggregated,26.200000,0.000000,6,7,8,9,22,190,260,350,370,370,370,568,0,6,22.327854242977903,4.367618999822298,372.14230400059023,1952.781690140845
1778714417,50,,Aggregated,26.800000,0.000000,6,7,8,9,16,180,260,350,370,370,370,591,0,6,21.728040199685356,4.367618999822298,372.14230400059023,1952.4670050761422
1778714418,50,,Aggregated,26.100000,0.000000,6,7,8,9,16,130,260,350,370,370,370,622,0,6,21.088006811920756,4.367618999822298,372.14230400059023,1952.2025723472668
1778714419,50,,Aggregated,27.100000,0.000000,6,7,8,9,15,89,260,350,370,370,370,643,0,6,20.594840217751454,4.367618999822298,372.14230400059023,1957.9393468118196
1778714420,50,,Aggregated,25.600000,0.000000,6,7,8,9,14,70,260,350,370,370,370,666,0,6,20.13870694446615,4.367618999822298,372.14230400059023,1959.1546546546547
1778714421,50,,Aggregated,26.000000,0.000000,6,7,8,9,14,69,260,350,370,370,370,695,0,6,19.59706226620478,4.367618999822298,372.14230400059023,1957.3237410071943
1778714422,50,,Aggregated,25.200000,0.000000,6,7,8,8,13,69,240,340,370,370,370,718,0,6,19.167098580794097,4.367618999822298,372.14230400059023,1959.7437325905291
1778714423,50,,Aggregated,25.200000,0.000000,6,7,8,8,12,68,240,340,370,370,370,744,0,6,18.73096151479531,4.367618999822298,372.14230400059023,1963.0510752688172
